direction,speed,created_at
202,9,2024-11-15 16:44:00 UTC
157,7,2024-11-15 16:44:07 UTC
157,7,2024-11-15 16:44:13 UTC
157,9,2024-11-15 16:44:19 UTC
135,12,2024-11-15 16:44:26 UTC
157,9,2024-11-15 16:44:32 UTC
157,6,2024-11-15 16:44:38 UTC
157,3,2024-11-15 16:44:44 UTC
202,3,2024-11-15 16:44:51 UTC
225,7,2024-11-15 16:44:57 UTC
247,2,2024-11-15 16:45:03 UTC
112,7,2024-11-15 16:45:09 UTC
202,6,2024-11-15 16:45:16 UTC
157,9,2024-11-15 16:45:22 UTC
157,4,2024-11-15 16:45:29 UTC
157,6,2024-11-15 16:45:35 UTC
225,4,2024-11-15 16:45:41 UTC
202,4,2024-11-15 16:45:47 UTC
202,4,2024-11-15 16:45:54 UTC
157,3,2024-11-15 16:46:00 UTC
157,3,2024-11-15 16:46:06 UTC
270,6,2024-11-15 16:46:12 UTC
157,3,2024-11-15 16:46:19 UTC
202,3,2024-11-15 16:46:25 UTC
157,6,2024-11-15 16:46:31 UTC
202,4,2024-11-15 16:46:38 UTC
180,7,2024-11-15 16:46:44 UTC
157,7,2024-11-15 16:46:50 UTC
157,9,2024-11-15 16:46:56 UTC
247,4,2024-11-15 16:47:03 UTC
157,4,2024-11-15 16:47:09 UTC
270,3,2024-11-15 16:47:15 UTC
180,6,2024-11-15 16:47:21 UTC
180,7,2024-11-15 16:47:28 UTC
157,4,2024-11-15 16:47:34 UTC
157,2,2024-11-15 16:47:40 UTC
157,2,2024-11-15 16:47:47 UTC
90,4,2024-11-15 16:47:53 UTC
202,7,2024-11-15 16:47:59 UTC
202,7,2024-11-15 16:48:05 UTC
112,2,2024-11-15 16:48:12 UTC
180,8,2024-11-15 16:48:18 UTC
157,4,2024-11-15 16:48:24 UTC
225,3,2024-11-15 16:48:30 UTC
157,4,2024-11-15 16:48:37 UTC
135,6,2024-11-15 16:48:43 UTC
247,4,2024-11-15 16:48:49 UTC
247,3,2024-11-15 16:48:56 UTC
202,1,2024-11-15 16:49:02 UTC
202,1,2024-11-15 16:49:08 UTC
112,3,2024-11-15 16:49:15 UTC
202,4,2024-11-15 16:49:21 UTC
247,4,2024-11-15 16:49:27 UTC
247,4,2024-11-15 16:49:33 UTC
